date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2025-12-05;Maroc Telecom;Fibre;Fibre Optique 100M;100 Mb/s;Illimités vers les fixes nationaux 10H vers mobile dont 2H vers l’international Zone 1;400;retrospectif web.archive.org;https://web.archive.org/web/20251205144202id_/https://www.iam.ma/fibre-optique;officiel_archive
2025-12-05;Maroc Telecom;Fibre;Fibre Optique 200M;200 Mb/s;Illimités vers les fixes nationaux 20H vers mobile dont 4H vers l’international Zone 1;500;retrospectif web.archive.org;https://web.archive.org/web/20251205144202id_/https://www.iam.ma/fibre-optique;officiel_archive
2025-12-05;Maroc Telecom;Fibre;Fibre Optique 1G;1 Gb/s;Illimités vers les fixes et mobiles nationaux 20H vers l'international;1000;retrospectif web.archive.org;https://web.archive.org/web/20251205144202id_/https://www.iam.ma/fibre-optique;officiel_archive
2025-12-05;Maroc Telecom;Box;Box 4G+ 199 DH;40 Go;;199;retrospectif web.archive.org;https://web.archive.org/web/20251205143643id_/https://www.iam.ma/box-4g;officiel_archive
2025-12-05;Maroc Telecom;Box;Box 4G+ 350 DH;70 Go;;350;retrospectif web.archive.org;https://web.archive.org/web/20251205143643id_/https://www.iam.ma/box-4g;officiel_archive
2025-12-05;Maroc Telecom;Box;Box 4G+ 450 DH;90 Go;;450;retrospectif web.archive.org;https://web.archive.org/web/20251205143643id_/https://www.iam.ma/box-4g;officiel_archive
