date_releve;operateur;categorie;offre;debit_ou_data;appels_inclus;prix_dh_mois;remarques;source;fiabilite
2026-02-26;Maroc Telecom;Fibre;Fibre Optique 100M;100 Mb/s;Illimités vers les fixes nationaux 10 H vers mobile dont 2 H vers l’international Zone 1;400;retrospectif web.archive.org;https://web.archive.org/web/20260226030651id_/https://www.iam.ma/fibre-optique;officiel_archive
2026-02-26;Maroc Telecom;Fibre;Fibre Optique 200M;200 Mb/s;Illimités vers les fixes nationaux 20 H vers mobile dont 4 H vers l’international Zone 1;500;retrospectif web.archive.org;https://web.archive.org/web/20260226030651id_/https://www.iam.ma/fibre-optique;officiel_archive
2026-02-26;Maroc Telecom;Fibre;Fibre Optique 500M;500 Mb/s;Illimités vers les fixes nationaux 50 H vers les mobiles dont 10 H vers l’international Zone 1;800;retrospectif web.archive.org;https://web.archive.org/web/20260226030651id_/https://www.iam.ma/fibre-optique;officiel_archive
2026-02-26;Maroc Telecom;Fibre;Fibre Optique 1G;1 Gb/s;Illimités vers les fixes nationaux 50 H vers les mobiles dont 10 H vers l’international Zone 1;1000;retrospectif web.archive.org;https://web.archive.org/web/20260226030651id_/https://www.iam.ma/fibre-optique;officiel_archive
